Daily Dates,Daily Closing Prices,Weekly Dates,Weekly Closing Prices,Monthly Dates,Monthly Closing Prices,Annually Dates,Annually Closing Prices
29/12/2022,1846,29/12/2022,1846,29/12/2022,1846,29/12/2022,1846
28/12/2022,1837,22/12/2022,1870,30/11/2022,1912,30/12/2021,1748
27/12/2022,1769,15/12/2022,1802,31/10/2022,1772,31/12/2020,1584
26/12/2022,1799,08/12/2022,1813,29/09/2022,1815,31/12/2019,1099
25/12/2022,1835,01/12/2022,1918,31/08/2022,2089,31/12/2018,2210
22/12/2022,1870,24/11/2022,1902,31/07/2022,1915,31/12/2017,3580
21/12/2022,1869,17/11/2022,1789,30/06/2022,1720,29/12/2016,3100
20/12/2022,1869,10/11/2022,1770,31/05/2022,1633,31/12/2015,2423
19/12/2022,1845,03/11/2022,1725,28/04/2022,1950,31/12/2014,3396
18/12/2022,1814,27/10/2022,1653,31/03/2022,1844,31/12/2013,4784
15/12/2022,1802,20/10/2022,1717,28/02/2022,1639,31/12/2012,3075
14/12/2022,1798,13/10/2022,1743,31/01/2022,1847,29/12/2011,6373
13/12/2022,1790,06/10/2022,1822,30/12/2021,1748,,
12/12/2022,1745,29/09/2022,1815,30/11/2021,1350,,
11/12/2022,1765,22/09/2022,1858,31/10/2021,1199,,
08/12/2022,1813,15/09/2022,1890,30/09/2021,1125,,
07/12/2022,1825,08/09/2022,2071,31/08/2021,1209,,
06/12/2022,1951,01/09/2022,2159,29/07/2021,1224,,
05/12/2022,1970,25/08/2022,2059,30/06/2021,1417,,
04/12/2022,1940,18/08/2022,1954,31/05/2021,1310,,
01/12/2022,1918,11/08/2022,1929,29/04/2021,1257,,
30/11/2022,1912,04/08/2022,1964,31/03/2021,1250,,
29/11/2022,1928,28/07/2022,1837,28/02/2021,1320,,
28/11/2022,1844,21/07/2022,1845,31/01/2021,1331,,
27/11/2022,1899,14/07/2022,1693,31/12/2020,1584,,
24/11/2022,1902,07/07/2022,1803,30/11/2020,1503,,
23/11/2022,1901,30/06/2022,1720,29/10/2020,1323,,
22/11/2022,1909,23/06/2022,1785,30/09/2020,1400,,
21/11/2022,1866,16/06/2022,1527,31/08/2020,1225,,
20/11/2022,1803,09/06/2022,1693,29/07/2020,1320,,
17/11/2022,1789,02/06/2022,1681,30/06/2020,1360,,
16/11/2022,1779,26/05/2022,1653,31/05/2020,1056,,
15/11/2022,1774,19/05/2022,1722,30/04/2020,1288,,
14/11/2022,1780,12/05/2022,1912,31/03/2020,1040,,
13/11/2022,1805,03/05/2022,1866,27/02/2020,1273,,
10/11/2022,1770,28/04/2022,1950,30/01/2020,1255,,
09/11/2022,1715,19/04/2022,1928,31/12/2019,1099,,
08/11/2022,1773,14/04/2022,1892,28/11/2019,988.5,,
07/11/2022,1750,07/04/2022,1829,31/10/2019,900,,
06/11/2022,1758,31/03/2022,1844,26/09/2019,977.5,,
03/11/2022,1725,24/03/2022,1819,29/08/2019,819.9,,
02/11/2022,1727,16/03/2022,1777,31/07/2019,1008,,
31/10/2022,1772,10/03/2022,1657,30/06/2019,1027,,
30/10/2022,1682,03/03/2022,1720,30/05/2019,1370,,
27/10/2022,1653,24/02/2022,1659,30/04/2019,1505,,
26/10/2022,1654,17/02/2022,1789,31/03/2019,1324,,
25/10/2022,1661,10/02/2022,1774,28/02/2019,1594,,
24/10/2022,1620,03/02/2022,1786,31/01/2019,1917,,
23/10/2022,1695,27/01/2022,1839,31/12/2018,2210,,
20/10/2022,1717,20/01/2022,1797,29/11/2018,2666,,
19/10/2022,1728,13/01/2022,1850,31/10/2018,2350,,
18/10/2022,1765,06/01/2022,1735,27/09/2018,2490,,
13/10/2022,1743,30/12/2021,1748,30/08/2018,2120,,
12/10/2022,1760,23/12/2021,1705,31/07/2018,2094,,
11/10/2022,1788,16/12/2021,1650,28/06/2018,2077,,
06/10/2022,1822,09/12/2021,1570,31/05/2018,2500,,
03/10/2022,1790,02/12/2021,1468,30/04/2018,2465,,
02/10/2022,1721,25/11/2021,1370,29/03/2018,2478,,
29/09/2022,1815,18/11/2021,1419,28/02/2018,2892,,
28/09/2022,1813,11/11/2021,1242,31/01/2018,3194,,
22/09/2022,1858,04/11/2021,1275,31/12/2017,3580,,
21/09/2022,1944,28/10/2021,1194,30/11/2017,3470,,
20/09/2022,1887,21/10/2021,1067,31/10/2017,3403,,
19/09/2022,1872,14/10/2021,1101,28/09/2017,3289,,
18/09/2022,1822,07/10/2021,1126,31/08/2017,3183,,
15/09/2022,1890,30/09/2021,1125,31/07/2017,3318,,
14/09/2022,1918,23/09/2021,1049,29/06/2017,3361,,
13/09/2022,1956,14/09/2021,973,29/05/2017,3445,,
12/09/2022,2014,09/09/2021,998.7,30/04/2017,3527,,
11/09/2022,2078,02/09/2021,1070,30/03/2017,3755,,
08/09/2022,2071,26/08/2021,1251,28/02/2017,4015,,
07/09/2022,2077,19/08/2021,1188,31/01/2017,3966,,
06/09/2022,2119,12/08/2021,1234,29/12/2016,3100,,
05/09/2022,2107,05/08/2021,1220,30/11/2016,3126,,
04/09/2022,2131,29/07/2021,1224,31/10/2016,2897,,
01/09/2022,2159,22/07/2021,1210,29/09/2016,2800,,
31/08/2022,2089,15/07/2021,1217,31/08/2016,2837,,
30/08/2022,2064,08/07/2021,1290,31/07/2016,2775,,
29/08/2022,2065,01/07/2021,1396,30/06/2016,2570,,
28/08/2022,2057,24/06/2021,1475,31/05/2016,3206,,
25/08/2022,2059,17/06/2021,1553,27/04/2016,2822,,
24/08/2022,2060,10/06/2021,1290,31/03/2016,2678,,
23/08/2022,2034,03/06/2021,1251,29/02/2016,2354,,
22/08/2022,1974,27/05/2021,1263,31/01/2016,2577,,
21/08/2022,1954,20/05/2021,1221,31/12/2015,2423,,
18/08/2022,1954,13/05/2021,1213,30/11/2015,2760,,
17/08/2022,1951,06/05/2021,1284,29/10/2015,2880,,
16/08/2022,1935,29/04/2021,1257,30/09/2015,2460,,
15/08/2022,1929,22/04/2021,1240,31/08/2015,2556,,
14/08/2022,1908,13/04/2021,1176,30/07/2015,2340,,
11/08/2022,1929,08/04/2021,1168,30/06/2015,1509,,
10/08/2022,2060,01/04/2021,1247,31/05/2015,1565,,
09/08/2022,1985,25/03/2021,1236,30/04/2015,1781,,
08/08/2022,2000,18/03/2021,1249,31/03/2015,1923,,
04/08/2022,1964,11/03/2021,1266,26/02/2015,2352,,
03/08/2022,1954,04/03/2021,1297,29/01/2015,2079,,
02/08/2022,1881,25/02/2021,1338,31/12/2014,3396,,
01/08/2022,1911,18/02/2021,1205,30/11/2014,3685,,
31/07/2022,1915,11/02/2021,1271,30/10/2014,3838,,
28/07/2022,1837,04/02/2021,1200,30/09/2014,4070,,
27/07/2022,1852,28/01/2021,1368,31/08/2014,4157,,
26/07/2022,1854,21/01/2021,1485,31/07/2014,4239,,
25/07/2022,1811,14/01/2021,1697,30/06/2014,4185,,
24/07/2022,1856,07/01/2021,1509,29/05/2014,4550,,
21/07/2022,1845,31/12/2020,1584,30/04/2014,4382,,
20/07/2022,1855,24/12/2020,1563,31/03/2014,4774,,
19/07/2022,1802,17/12/2020,1649,27/02/2014,4407,,
18/07/2022,1800,10/12/2020,1572,30/01/2014,4406,,
17/07/2022,1800,03/12/2020,1475,31/12/2013,4784,,
14/07/2022,1693,26/11/2020,1578,28/11/2013,4770,,
13/07/2022,1762,19/11/2020,1595,31/10/2013,4124,,
12/07/2022,1799,12/11/2020,1356,30/09/2013,3935,,
11/07/2022,1809,05/11/2020,1300,29/08/2013,3971,,
